Offer Controller,Name
Keyera Partnership,Keyera
URICA Asset Optimization Ltd.,URICA Energy
Campus Energy Partners LP,Campus Energy
BTG Power Corp.,BTG Power
Northstone Power Corp.,Northstone Power 
Tourmaline Oil Corp.,Tourmaline Oil
Nexen Inc.,Nexen
Suncor Energy Inc.,Suncor
TransAlta Energy Marketing Corp.,TransAlta
ENMAX Generation Portfolio Inc.,ENMAX
Calgary Energy Centre No. 2 Inc.,ENMAX
Cancarb Ltd.,Cancarb
Alberta Pacific Forest Industries,Alberta Pacific Forest Industries
West Fraser Mills Ltd.,West Fraser
Heartland Generation Ltd.,Heartland Generation
Capital Power GP Holdings Inc.,Capital Power
"Exelon Generation Company, LLC",Exelon
Air Liquide Canada Inc.,Air Liquide Canada
City of Medicine Hat,Medicine Hat
Dow Chemical Canada ULC,Dow Chemical
TransAlta Generation Partnership,TransAlta
ENMAX Cavalier LP,ENMAX
Mercer Peace River Pulp Ltd.,Mercer Peace River
Whitecourt Power Ltd.,Capstone
Milner Power Limited Partnership  by its General Partner Milner Power Inc.,Milner Power
Alberta Newsprint Company,Alberta Newsprint 
ENMAX Energy Corporation,ENMAX
TransCanada Energy Ltd,TransCanada
Syncrude Canada Ltd.,Syncrude
Algonquin Power Operating Trust,Algonquin Power
Signalta Resources Limited,Signalta Resources
Canadian Forest Products Ltd.,Canadian Forest Products
ATCO Power (2010) Ltd.,ATCO
Repsol Canada Energy Partnership,Repsol
University of Calgary,University of Calgary
DAPP Power LP,DAPP Power
Brooks Solar Corporation,Elemental Energy
TransAlta Corporation,TransAlta
Suncor Energy Products Inc.,Suncor
International Paper Canada Pulp Holdings ULC,International Paper
AltaGas Ltd.,AltaGas Ltd
Powerex Corp.,Powerex
ENMAX Energy Corporation 12,ENMAX
Cenovus FCCL Ltd.,Cenovus
Riverview Limited Partnership,Revierview
MEG Energy Corp.,MEG
Imperial Oil Limited 1,Imperial Oil
Imperial Oil Limited,Imperial Oil
Capital Power GP Holdings Inc.; ENMAX Energy Corporation,Capital Power / ENMAX
Balancing Pool,Balancing Pool
Balancing Pool; Heartland Generation Ltd.,Balancing Pool / Heartland
Pembina NGL Corporation; TransCanada Energy Ltd,Pembina / TransCanada
