,coef,std_err,t_stat,p_value,ci_lower,ci_upper
ln_solar,-0.007149080480591597,0.0064838912196510156,-1.1025910581171632,0.2702049646666438,-0.019857283577278242,0.005559122616095049
AIL,-6.0608668584016194e-05,9.58519889531662e-05,-0.6323151897623107,0.5271810322474471,-0.00024847526004477847,0.00012725792287674608
Month.1,4.511150130121738,0.9287203405426215,4.857382715970254,1.189590078665148e-06,2.6908903034501144,6.331409956793362
Month.2,4.414252956450069,0.9413855198439641,4.6891022470599895,2.744293432721534e-06,2.5691698152956834,6.259336097604454
Month.3,4.3830956707994,0.9102246063827905,4.815400111207399,1.4691892318285937e-06,2.599086844979408,6.167104496619392
Month.4,4.445191241081559,0.8805716735113901,5.048074307632223,4.463354426054167e-07,2.7193011406652383,6.171081341497879
Month.5,4.4357777047314295,0.839656322249915,5.282849169581035,1.2720704622992685e-07,2.7900802812106176,6.081475128252242
Month.6,4.477633083570476,0.8963165170960615,4.995593630336494,5.866135206478162e-07,2.7208836329242887,6.234382534216663
Month.7,4.554463488298365,0.8880720121795658,5.128484431257433,2.9211873830981006e-07,2.8138729828536206,6.2950539937431085
Month.8,4.556904215908889,0.8637323787253118,5.275828865688613,1.3217488881167583e-07,2.864018552318697,6.249789879499081
Month.9,4.4932239986658535,0.8912913030029556,5.041251926869698,4.6254753294228124e-07,2.7463237942725915,6.240124203059116
Month.10,4.5544799947181085,0.8667625330882853,5.254587987889187,1.4837556272517816e-07,2.8556553331166183,6.253304656319599
Month.11,4.686054029172389,0.9953425577261047,4.707981179743631,2.5020356677618594e-06,2.735216955283339,6.63689110306144
Month.12,4.458698812771747,0.9257023611572601,4.816557675404151,1.4606958231855316e-06,2.6443541215753372,6.2730435039681565
