,coef,std_err,t_stat,p_value,ci_lower,ci_upper
ln_solar,-0.005915861159599134,0.006872888504094161,-0.8607532562291781,0.38937408652516403,-0.019386485513739164,0.007554763194540896
AIL,-0.00010492863789848682,5.035067314315264e-05,-2.0839570029215473,0.03716424029228094,-0.00020361422016647524,-6.243055630498391e-06
Month.1,4.6765396216189306,0.49544858632915106,9.439000838145642,0.0,3.7054774853345975,5.647601757903264
Month.2,4.573923973799184,0.4775179074007983,9.578539156145451,0.0,3.6380053496080054,5.509842597990363
Month.3,4.480987930107327,0.46604122791863667,9.61500326938808,0.0,3.5675632017570265,5.394412658457627
Month.4,4.5798928814396795,0.45427913904148876,10.081671130888983,0.0,3.6895214414978383,5.470264321381521
Month.5,4.6351567682777794,0.4508093644299841,10.281855555814818,0.0,3.7515859668676517,5.518727569687908
Month.6,4.7456923673450415,0.4646413530149871,10.213667674112441,0.0,3.8350113455103667,5.656373389179716
Month.7,4.756790532533384,0.47689319328006446,9.974540629980998,0.0,3.8220963264662764,5.691484738600492
Month.8,4.781115278285039,0.47303526910913873,10.107312478600702,0.0,3.8539824704949934,5.708248086075085
Month.9,4.72171981751007,0.4693212211908511,10.060742204516608,0.0,3.80186641550563,5.641573219514509
Month.10,4.726747052415673,0.466368471774362,10.135219978383452,0.0,3.8126809373980275,5.640813167433318
Month.11,4.979306224185437,0.5510911583741296,9.035358576384638,0.0,3.899186566355456,6.059425882015417
Month.12,4.682387077717065,0.5188810881977987,9.024007974505574,0.0,3.6653980461888755,5.699376109245255
